 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =    7.478758 THz    46.990420 2PiTHz  249.464502 cm-1    30.929642 meV
             X         Y         Z           dx          dy          dz
      2.299255  0.929341 12.441442    -0.004629    0.000000   -0.007791  
     11.201891  2.788024 12.594295    -0.003196   -0.000000    0.001768  
     12.978330  0.929341 11.777452    -0.007828    0.000000   -0.021524  
      4.075984  2.788024 13.259029    -0.000295   -0.000000    0.017523  
      4.839461  0.929341 11.777088     0.024324    0.000000   -0.018391  
     13.741567  2.788024 13.259193     0.016754   -0.000000    0.013548  
      8.907040  0.929341 12.370505    -0.003391    0.000000    0.043903  
      0.005627  2.788024 12.664576    -0.003807   -0.000000   -0.092557  
     14.311903  2.788024 10.580802    -0.000087   -0.000000    0.003161  
      5.409563  0.929341 14.455386    -0.000401    0.000000   -0.001777  
     10.693180  0.929341 10.562509     0.006854   -0.000000   -0.006544  
      1.790519  2.788024 14.473367     0.008668    0.000000    0.020926  
      3.506921  2.788024 10.580402    -0.000839   -0.000000   -0.001349  
     12.408767  0.929341 14.455686    -0.000259    0.000000    0.002808  
      7.123465  0.929341 10.561065    -0.008791   -0.000000   -0.003128  
     16.025723  2.788024 14.474552    -0.010328    0.000000    0.017516  
      0.007149  0.929341 10.898066    -0.000285   -0.000000    0.021125  
      8.908990  2.788024 14.136629    -0.000208   -0.000000   -0.012451  
 
   9 f  =    6.326737 THz    39.752063 2PiTHz  211.037241 cm-1    26.165271 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821    -0.008167   -0.000000   -0.005308  
      6.616854  2.788024 12.594077     0.009199    0.000000   -0.006237  
      2.299255  0.929341 12.441442    -0.008253   -0.000000    0.005320  
     11.201891  2.788024 12.594295     0.008921    0.000000    0.006345  
     12.978330  0.929341 11.777452     0.000010   -0.000000   -0.015218  
      4.075984  2.788024 13.259029    -0.000443    0.000000   -0.017000  
      4.839461  0.929341 11.777088     0.000293   -0.000000    0.015808  
     13.741567  2.788024 13.259193    -0.000260    0.000000    0.017179  
      8.907040  0.929341 12.370505    -0.072851   -0.000000    0.000134  
      0.005627  2.788024 12.664576     0.067938   -0.000000   -0.000258  
     14.311903  2.788024 10.580802    -0.003383    0.000000    0.002109  
      5.409563  0.929341 14.455386     0.003800   -0.000000    0.003170  
     10.693180  0.929341 10.562509     0.009890   -0.000000   -0.020000  
      1.790519  2.788024 14.473367    -0.009491   -0.000000   -0.017673  
      3.506921  2.788024 10.580402    -0.002886   -0.000000   -0.002483  
     12.408767  0.929341 14.455686     0.003181    0.000000   -0.003255  
      7.123465  0.929341 10.561065     0.009988    0.000000    0.019931  
