     #Energy           s           p           d       tot  
   -12.40876     0.26472     0.02961     0.01184     0.30617
   -12.40576     0.24452     0.02834     0.01116     0.28402
   -12.40176     0.22473     0.02716     0.01051     0.26240
   -12.39776     0.20726     0.02622     0.00997     0.24346
   -12.39376     0.19369     0.02570     0.00962     0.22901
   -12.38976     0.18519     0.02573     0.00951     0.22042
   -12.38576     0.18230     0.02639     0.00966     0.21835
   -12.38176     0.18498     0.02771     0.01009     0.22278
   -12.37876     0.19252     0.02966     0.01076     0.23294
   -12.37476     0.20377     0.03211     0.01163     0.24751
   -12.37076     0.21717     0.03490     0.01261     0.26468
   -12.36676     0.23103     0.03780     0.01363     0.28246
   -12.36276     0.24371     0.04058     0.01459     0.29887
   -12.35876     0.25374     0.04301     0.01540     0.31215
   -12.35576     0.26006     0.04489     0.01601     0.32096
   -12.35176     0.26197     0.04610     0.01637     0.32444
   -12.34776     0.25935     0.04657     0.01645     0.32237
   -12.34376     0.25245     0.04632     0.01628     0.31504
   -12.33976     0.24202     0.04543     0.01588     0.30333
   -12.33576     0.22905     0.04407     0.01532     0.28843
   -12.33176     0.21476     0.04241     0.01467     0.27183
   -12.32876     0.20046     0.04066     0.01400     0.25512
   -12.32476     0.18736     0.03903     0.01339     0.23977
   -12.32076     0.17649     0.03764     0.01290     0.22703
   -12.31676     0.16866     0.03662     0.01257     0.21785
   -12.31276     0.16437     0.03600     0.01242     0.21279
   -12.30876     0.16372     0.03575     0.01246     0.21193
   -12.30476     0.16661     0.03581     0.01266     0.21508
   -12.30176     0.17260     0.03608     0.01299     0.22167
   -12.29776     0.18106     0.03643     0.01341     0.23090
   -12.29376     0.19119     0.03676     0.01387     0.24182
   -12.28976     0.20216     0.03697     0.01432     0.25345
   -12.28576     0.21316     0.03702     0.01473     0.26490
   -12.28176     0.22336     0.03686     0.01506     0.27528
   -12.27776     0.23215     0.03651     0.01531     0.28397
   -12.27476     0.23902     0.03602     0.01546     0.29050
   -12.27076     0.24371     0.03545     0.01553     0.29469
   -12.26676     0.24610     0.03489     0.01553     0.29652
   -12.26276     0.24634     0.03442     0.01549     0.29625
