      #Energy        TDOS
     -12.65176       3.28600
     -12.64776       3.49400
     -12.64376       3.73700
     -12.64076       3.98400
     -12.63676       4.20400
     -12.63276       4.37600
     -12.62876       4.48200
     -12.62476       4.51800
     -12.62076       4.48900
     -12.61676       4.40500
     -12.61376       4.28600
     -12.60976       4.14800
     -12.60576       4.01000
     -12.60176       3.88500
     -12.59776       3.78300
     -12.59376       3.70800
     -12.58976       3.66200
     -12.58676       3.64100
     -12.58276       3.64100
     -12.57876       3.66000
     -12.57476       3.69100
     -12.57076       3.73200
     -12.56676       3.77700
     -12.56376       3.82300
     -12.55976       3.86600
     -12.55576       3.89900
     -12.55176       3.91900
     -12.54776       3.92000
     -12.54376       3.89800
     -12.53976       3.84800
     -12.53676       3.77000
     -12.53276       3.66400
     -12.52876       3.52900
     -12.52476       3.36800
     -12.52076       3.18500
     -12.51676       2.98300
     -12.51276       2.77000
     -12.50976       2.55200
     -12.50576       2.34100
     -12.50176       2.14900
     -12.49776       1.98800
     -12.49376       1.87200
     -12.48976       1.81100
     -12.48576       1.81200
     -12.48276       1.88000
     -12.47876       2.01300
     -12.47476       2.20400
     -12.47076       2.44500
     -12.46676       2.72400
     -12.46276       3.02900
     -12.45976       3.34800
     -12.45576       3.67000
     -12.45176       3.98700
     -12.44776       4.28800
     -12.44376       4.56600
     -12.43976       4.80900
     -12.43576       5.00600
     -12.43276       5.14700
     -12.42876       5.21900
     -12.42476       5.21500
     -12.42076       5.13100
     -12.41676       4.97100
     -12.41276       4.74700
     -12.40876       4.47600
     -12.40576       4.18400
     -12.40176       3.89900
     -12.39776       3.65100
     -12.39376       3.46400
     -12.38976       3.35700
     -12.38576       3.34300
     -12.38176       3.42100
     -12.37876       3.58200
     -12.37476       3.80900
     -12.37076       4.07500
     -12.36676       4.35300
     -12.36276       4.61300
     -12.35876       4.82800
     -12.35576       4.97900
     -12.35176       5.05200
     -12.34776       5.04300
     -12.34376       4.95600
     -12.33976       4.80200
     -12.33576       4.60000
     -12.33176       4.37200
     -12.32876       4.13900
     -12.32476       3.92500
     -12.32076       3.74500
     -12.31676       3.61400
     -12.31276       3.53700
     -12.30876       3.51700
     -12.30476       3.54700
     -12.30176       3.62000
     -12.29776       3.72300
     -12.29376       3.84400
     -12.28976       3.96900
     -12.28576       4.08800
     -12.28176       4.19000
     -12.27776       4.26900
     -12.27476       4.32300
     -12.27076       4.35100
     -12.26676       4.35500
     -12.26276       4.34100
     -12.25876       4.31700
     -12.25476       4.29200
     -12.25176       4.27700
     -12.24776       4.28100
     -12.24376       4.31400
     -12.23976       4.38500
     -12.23576       4.49700
     -12.23176       4.65400
     -12.22776       4.85100
     -12.22476       5.08300
     -12.22076       5.33900
     -12.21676       5.60300
     -12.21276       5.85800
     -12.20876       6.08200
     -12.20476       6.25500
     -12.20076       6.35700
     -12.19776       6.37200
     -12.19376       6.28700
     -12.18976       6.09900
     -12.18576       5.81400
     -12.18176       5.44700
     -12.17776       5.02100
     -12.17376       4.56600
     -12.17076       4.11600
     -12.16676       3.70500
     -12.16276       3.36400
     -12.15876       3.11600
     -12.15476       2.97500
     -12.15076       2.94700
     -12.14776       3.02700
     -12.14376       3.20100
     -12.13976       3.44800
     -12.13576       3.74400
     -12.13176       4.06000
     -12.12776       4.37000
     -12.12376       4.65100
     -12.12076       4.88200
     -12.11676       5.05100
     -12.11276       5.15300
     -12.10876       5.19200
     -12.10476       5.18100
     -12.10076       5.13800
     -12.09676       5.08700
     -12.09376       5.05200
     -12.08976       5.05500
     -12.08576       5.11400
     -12.08176       5.23700
     -12.07776       5.42100
     -12.07376       5.65500
     -12.06976       5.92000
     -12.06676       6.19200
     -12.06276       6.44500
     -12.05876       6.65400
     -12.05476       6.80300
     -12.05076       6.88300
     -12.04676       6.89300
     -12.04376       6.84700
     -12.03976       6.76300
     -12.03576       6.66900
     -12.03176       6.59300
     -12.02776       6.56800
     -12.02376       6.61900
     -12.01976       6.76600
     -12.01676       7.02100
     -12.01276       7.38300
     -12.00876       7.83900
     -12.00476       8.36900
     -12.00076       8.94100
     -11.99676       9.52100
     -11.99276      10.08000
     -11.98976      10.57000
     -11.98576      11.00000
     -11.98176      11.34000
     -11.97776      11.60000
     -11.97376      11.79000
     -11.96976      11.94000
     -11.96676      12.05000
     -11.96276      12.16000
     -11.95876      12.27000
     -11.95476      12.38000
     -11.95076      12.49000
     -11.94676      12.59000
     -11.94276      12.65000
     -11.93976      12.66000
     -11.93576      12.58000
     -11.93176      12.43000
     -11.92776      12.17000
     -11.92376      11.84000
     -11.91976      11.43000
     -11.91576      10.97000
     -11.91276      10.49000
     -11.90876      10.02000
     -11.90476       9.61400
     -11.90076       9.29700
     -11.89676       9.10900
     -11.89276       9.08200
     -11.88876       9.23800
     -11.88576       9.58500
     -11.88176      10.12000
     -11.87776      10.81000
     -11.87376      11.63000
     -11.86976      12.51000
     -11.86576      13.40000
     -11.86276      14.24000
     -11.85876      14.95000
     -11.85476      15.51000
     -11.85076      15.86000
     -11.84676      15.99000
     -11.84276      15.90000
     -11.83876      15.61000
     -11.83576      15.14000
     -11.83176      14.53000
     -11.82776      13.83000
     -11.82376      13.08000
     -11.81976      12.33000
     -11.81576      11.60000
     -11.81176      10.93000
     -11.80876      10.34000
     -11.80476       9.83300
     -11.80076       9.41300
     -11.79676       9.07900
     -11.79276       8.82700
     -11.78876       8.65300
     -11.78476       8.55800
     -11.78176       8.54300
     -11.77776       8.61400
     -11.77376       8.77800
     -11.76976       9.04400
     -11.76576       9.41800
     -11.76176       9.90300
     -11.75876      10.50000
     -11.75476      11.19000
     -11.75076      11.96000
     -11.74676      12.79000
     -11.74276      13.64000
     -11.73876      14.48000
     -11.73476      15.28000
     -11.73176      16.01000
     -11.72776      16.64000
     -11.72376      17.16000
     -11.71976      17.56000
     -11.71576      17.85000
     -11.71176      18.06000
     -11.70776      18.20000
     -11.70476      18.30000
     -11.70076      18.40000
     -11.69676      18.49000
     -11.69276      18.58000
     -11.68876      18.68000
     -11.68476      18.75000
     -11.68076      18.77000
     -11.67776      18.74000
     -11.67376      18.62000
     -11.66976      18.43000
     -11.66576      18.16000
     -11.66176      17.84000
     -11.65776      17.49000
     -11.65476      17.17000
     -11.65076      16.91000
     -11.64676      16.75000
     -11.64276      16.72000
     -11.63876      16.86000
     -11.63476      17.18000
     -11.63076      17.66000
     -11.62776      18.31000
     -11.62376      19.10000
     -11.61976      19.98000
     -11.61576      20.91000
     -11.61176      21.83000
     -11.60776      22.68000
     -11.60376      23.40000
     -11.60076      23.95000
     -11.59676      24.27000
     -11.59276      24.36000
     -11.58876      24.21000
     -11.58476      23.83000
     -11.58076      23.26000
     -11.57676      22.55000
     -11.57376      21.76000
     -11.56976      20.95000
     -11.56576      20.17000
     -11.56176      19.50000
     -11.55776      18.98000
     -11.55376      18.65000
     -11.55076      18.53000
     -11.54676      18.65000
     -11.54276      18.99000
     -11.53876      19.53000
     -11.53476      20.24000
     -11.53076      21.08000
     -11.52676      21.99000
